BillNo;Itemname;Quantity;Date;Price;CustomerID;Country
536370;ALARM CLOCK BAKELIKE PINK;24;01.12.2010 08:45;3,75;12583,0;France
536370;ALARM CLOCK BAKELIKE RED;24;01.12.2010 08:45;3,75;12583,0;France
536370;ALARM CLOCK BAKELIKE GREEN;12;01.12.2010 08:45;3,75;12583,0;France
536370;PANDA AND BUNNIES STICKER SHEET;12;01.12.2010 08:45;0,85;12583,0;France
536370;STARS GIFT TAPE;24;01.12.2010 08:45;0,65;12583,0;France
536370;INFLATABLE POLITICAL GLOBE;48;01.12.2010 08:45;0,85;12583,0;France
536370;VINTAGE HEADS AND TAILS CARD GAME;24;01.12.2010 08:45;1,25;12583,0;France
536370;SET/2 RED RETROSPOT TEA TOWELS;18;01.12.2010 08:45;2,95;12583,0;France
536370;ROUND SNACK BOXES SET OF4 WOODLAND;24;01.12.2010 08:45;2,95;12583,0;France
536370;SPACEBOY LUNCH BOX;24;01.12.2010 08:45;1,95;12583,0;France
536370;LUNCH BOX I LOVE LONDON;24;01.12.2010 08:45;1,95;12583,0;France
536370;CIRCUS PARADE LUNCH BOX;24;01.12.2010 08:45;1,95;12583,0;France
536370;CHARLOTTE BAG DOLLY GIRL DESIGN;20;01.12.2010 08:45;0,85;12583,0;France
536370;RED TOADSTOOL LED NIGHT LIGHT;24;01.12.2010 08:45;1,65;12583,0;France
536370;SET 2 TEA TOWELS I LOVE LONDON;24;01.12.2010 08:45;2,95;12583,0;France
536370;VINTAGE SEASIDE JIGSAW PUZZLES;12;01.12.2010 08:45;3,75;12583,0;France
536370;MINI JIGSAW CIRCUS PARADE;24;01.12.2010 08:45;0,42;12583,0;France
536370;MINI JIGSAW SPACEBOY;24;01.12.2010 08:45;0,42;12583,0;France
536370;MINI PAINT SET VINTAGE;36;01.12.2010 08:45;0,65;12583,0;France
536370;POSTAGE;3;01.12.2010 08:45;18,0;12583,0;France
536403;HAND WARMER BIRD DESIGN;96;01.12.2010 11:27;1,85;12791,0;Netherlands
536403;POSTAGE;1;01.12.2010 11:27;15,0;12791,0;Netherlands
536527;SET OF 6 T-LIGHTS SANTA;6;01.12.2010 13:04;2,95;12662,0;Germany
536527;ROTATING SILVER ANGELS T-LIGHT HLDR;6;01.12.2010 13:04;2,55;12662,0;Germany
536527;MULTI COLOUR SILVER T-LIGHT HOLDER;12;01.12.2010 13:04;0,85;12662,0;Germany
536527;5 HOOK HANGER MAGIC TOADSTOOL;12;01.12.2010 13:04;1,65;12662,0;Germany
536527;3 HOOK HANGER MAGIC GARDEN;12;01.12.2010 13:04;1,95;12662,0;Germany
536527;5 HOOK HANGER RED MAGIC TOADSTOOL;12;01.12.2010 13:04;1,65;12662,0;Germany
536527;ASSORTED COLOUR LIZARD SUCTION HOOK;24;01.12.2010 13:04;0,42;12662,0;Germany
536527;JUMBO BAG WOODLAND ANIMALS;10;01.12.2010 13:04;1,95;12662,0;Germany
536527;JUMBO BAG OWLS;10;01.12.2010 13:04;1,95;12662,0;Germany
536527;HOT WATER BOTTLE BABUSHKA;4;01.12.2010 13:04;4,65;12662,0;Germany
536527;HOMEMADE JAM SCENTED CANDLES;12;01.12.2010 13:04;1,45;12662,0;Germany
536527;CHILDREN'S CIRCUS PARADE MUG;12;01.12.2010 13:04;1,65;12662,0;Germany
536527;PACK 3 FIRE ENGINE/CAR PATCHES;12;01.12.2010 13:04;1,25;12662,0;Germany
536527;PICTURE DOMINOES;12;01.12.2010 13:04;1,45;12662,0;Germany
536527;POSTAGE;1;01.12.2010 13:04;18,0;12662,0;Germany
536532;BOX OF 24 COCKTAIL PARASOLS;50;01.12.2010 13:24;0,42;12433,0;Norway
536532;GROW YOUR OWN PLANT IN A CAN;96;01.12.2010 13:24;1,06;12433,0;Norway
536532;CHILDREN'S APRON DOLLY GIRL;8;01.12.2010 13:24;2,1;12433,0;Norway
536532;RETROSPOT CHILDRENS APRON;8;01.12.2010 13:24;1,95;12433,0;Norway
536532;PLASTERS IN TIN CIRCUS PARADE;24;01.12.2010 13:24;1,65;12433,0;Norway
536532;PLASTERS IN TIN STRONGMAN;36;01.12.2010 13:24;1,65;12433,0;Norway
536532;PLASTERS IN TIN WOODLAND ANIMALS;24;01.12.2010 13:24;1,65;12433,0;Norway
536532;PLASTERS IN TIN SKULLS;24;01.12.2010 13:24;1,65;12433,0;Norway
536532;PLASTERS IN TIN SPACEBOY;24;01.12.2010 13:24;1,65;12433,0;Norway
536532;MINI JIGSAW DINOSAUR;24;01.12.2010 13:24;0,42;12433,0;Norway
