country,index,time,count,total_encounter_duration
AUS,0,1993-01-01 00:00:00+00:00,1,0 days 00:01:00
AUS,1,1993-02-01 00:00:00+00:00,1,0 days 00:08:00
AUS,2,1993-03-01 00:00:00+00:00,0,0 days 00:00:00
AUS,3,1993-04-01 00:00:00+00:00,0,0 days 00:00:00
AUS,4,1993-05-01 00:00:00+00:00,0,0 days 00:00:00
AUS,5,1993-06-01 00:00:00+00:00,1,0 days 00:00:30
AUS,6,1993-07-01 00:00:00+00:00,0,0 days 00:00:00
AUS,7,1993-08-01 00:00:00+00:00,0,0 days 00:00:00
AUS,8,1993-09-01 00:00:00+00:00,0,0 days 00:00:00
AUS,9,1993-10-01 00:00:00+00:00,0,0 days 00:00:00
AUS,10,1993-11-01 00:00:00+00:00,0,0 days 00:00:00
AUS,11,1993-12-01 00:00:00+00:00,0,0 days 00:00:00
AUS,12,1994-01-01 00:00:00+00:00,0,0 days 00:00:00
AUS,13,1994-02-01 00:00:00+00:00,0,0 days 00:00:00
AUS,14,1994-03-01 00:00:00+00:00,0,0 days 00:00:00
AUS,15,1994-04-01 00:00:00+00:00,0,0 days 00:00:00
AUS,16,1994-05-01 00:00:00+00:00,0,0 days 00:00:00
AUS,17,1994-06-01 00:00:00+00:00,0,0 days 00:00:00
AUS,18,1994-07-01 00:00:00+00:00,1,0 days 00:15:00
AUS,19,1994-08-01 00:00:00+00:00,1,0 days 00:02:00
AUS,20,1994-09-01 00:00:00+00:00,0,0 days 00:00:00
AUS,21,1994-10-01 00:00:00+00:00,0,0 days 00:00:00
AUS,22,1994-11-01 00:00:00+00:00,0,0 days 00:00:00
AUS,23,1994-12-01 00:00:00+00:00,0,0 days 00:00:00
AUS,24,1995-01-01 00:00:00+00:00,0,0 days 00:00:00
AUS,25,1995-02-01 00:00:00+00:00,0,0 days 00:00:00
AUS,26,1995-03-01 00:00:00+00:00,0,0 days 00:00:00
AUS,27,1995-04-01 00:00:00+00:00,0,0 days 00:00:00
AUS,28,1995-05-01 00:00:00+00:00,0,0 days 00:00:00
AUS,29,1995-06-01 00:00:00+00:00,1,0 days 00:05:00
AUS,30,1995-07-01 00:00:00+00:00,1,0 days 00:00:02
AUS,31,1995-08-01 00:00:00+00:00,0,0 days 00:00:00
AUS,32,1995-09-01 00:00:00+00:00,1,0 days 00:01:00
AUS,33,1995-10-01 00:00:00+00:00,2,0 days 00:10:00
AUS,34,1995-11-01 00:00:00+00:00,0,0 days 00:00:00
AUS,35,1995-12-01 00:00:00+00:00,0,0 days 00:00:00
AUS,36,1996-01-01 00:00:00+00:00,1,0 days 00:15:00
AUS,37,1996-02-01 00:00:00+00:00,1,0 days 00:00:05
AUS,38,1996-03-01 00:00:00+00:00,0,0 days 00:00:00
AUS,39,1996-04-01 00:00:00+00:00,2,0 days 05:10:00
AUS,40,1996-05-01 00:00:00+00:00,0,0 days 00:00:00
