index,time,AUS_count,CAN_count,GBR_count,GLOBAL_count,IND_count,USA_count,AUS_total_encounter_duration,CAN_total_encounter_duration,GBR_total_encounter_duration,GLOBAL_total_encounter_duration,IND_total_encounter_duration,USA_total_encounter_duration
0,1993-01-01 00:00:00+00:00,1,0,0,10,0,9,0 days 00:01:00,0 days 00:00:00,0 days 00:00:00,0 days 01:18:10,0 days 00:00:00,0 days 01:17:10
1,1993-02-01 00:00:00+00:00,1,1,0,14,0,12,0 days 00:08:00,0 days 00:15:00,0 days 00:00:00,0 days 01:28:47.200000,0 days 00:00:00,0 days 01:05:47.200000
2,1993-03-01 00:00:00+00:00,0,0,3,16,0,13,0 days 00:00:00,0 days 00:00:00,0 days 01:07:00,73 days 08:26:45,0 days 00:00:00,73 days 07:19:45
3,1993-04-01 00:00:00+00:00,0,0,1,13,1,11,0 days 00:00:00,0 days 00:00:00,0 days 00:20:00,5 days 01:32:00,0 days 00:02:00,5 days 01:10:00
4,1993-05-01 00:00:00+00:00,0,0,2,25,1,22,0 days 00:00:00,0 days 00:00:00,0 days 00:45:30,0 days 04:25:58,0 days 00:10:00,0 days 03:30:28
5,1993-06-01 00:00:00+00:00,1,6,6,77,0,64,0 days 00:00:30,0 days 00:44:15,0 days 01:37:00,1 days 02:14:14,0 days 00:00:00,0 days 23:52:29
6,1993-07-01 00:00:00+00:00,0,3,0,40,0,37,0 days 00:00:00,0 days 00:49:10,0 days 00:00:00,0 days 09:03:22,0 days 00:00:00,0 days 08:14:12
7,1993-08-01 00:00:00+00:00,0,1,0,34,0,33,0 days 00:00:00,0 days 00:00:25,0 days 00:00:00,0 days 04:57:57,0 days 00:00:00,0 days 04:57:32
8,1993-09-01 00:00:00+00:00,0,3,1,20,0,16,0 days 00:00:00,0 days 05:26:00,0 days 00:07:00,0 days 08:07:26,0 days 00:00:00,0 days 02:34:26
9,1993-10-01 00:00:00+00:00,0,0,0,17,0,17,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 05:55:15,0 days 00:00:00,0 days 05:55:15
10,1993-11-01 00:00:00+00:00,0,2,2,17,0,13,0 days 00:00:00,0 days 00:10:10,0 days 00:13:00,0 days 10:06:50,0 days 00:00:00,0 days 09:43:40
11,1993-12-01 00:00:00+00:00,0,0,0,13,0,13,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 01:07:15,0 days 00:00:00,0 days 01:07:15
12,1994-01-01 00:00:00+00:00,0,0,0,14,0,14,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 07:42:02,0 days 00:00:00,0 days 07:42:02
13,1994-02-01 00:00:00+00:00,0,3,0,11,0,8,0 days 00:00:00,0 days 00:17:10,0 days 00:00:00,0 days 01:31:10,0 days 00:00:00,0 days 01:14:00
14,1994-03-01 00:00:00+00:00,0,0,1,20,2,17,0 days 00:00:00,0 days 00:00:00,0 days 00:15:00,122 days 04:41:08,0 days 00:01:10,122 days 04:24:58
15,1994-04-01 00:00:00+00:00,0,1,0,22,0,21,0 days 00:00:00,0 days 00:02:00,0 days 00:00:00,0 days 04:49:42,0 days 00:00:00,0 days 04:47:42
16,1994-05-01 00:00:00+00:00,0,2,1,27,0,24,0 days 00:00:00,0 days 02:05:00,0 days 00:25:00,0 days 14:29:49,0 days 00:00:00,0 days 11:59:49
17,1994-06-01 00:00:00+00:00,0,0,3,65,1,61,0 days 00:00:00,0 days 00:00:00,0 days 01:07:30,0 days 21:48:48.300000,0 days 00:03:00,0 days 20:38:18.300000
18,1994-07-01 00:00:00+00:00,1,4,1,47,0,41,0 days 00:15:00,0 days 04:22:00,0 days 00:02:00,0 days 12:06:33,0 days 00:00:00,0 days 07:27:33
19,1994-08-01 00:00:00+00:00,1,3,2,55,0,49,0 days 00:02:00,0 days 00:00:44,0 days 00:02:15,0 days 10:37:40,0 days 00:00:00,0 days 10:32:41
20,1994-09-01 00:00:00+00:00,0,2,1,30,0,27,0 days 00:00:00,0 days 00:05:10,0 days 00:00:20,1 days 04:21:12,0 days 00:00:00,1 days 04:15:42
21,1994-10-01 00:00:00+00:00,0,2,1,53,1,49,0 days 00:00:00,0 days 01:15:00,0 days 00:20:00,0 days 14:00:09,0 days 00:01:00,0 days 12:24:09
22,1994-11-01 00:00:00+00:00,0,0,0,24,0,24,0 days 00:00:00,0 days 00:00:00,0 days 00:00:00,0 days 05:47:42,0 days 00:00:00,0 days 05:47:42
23,1994-12-01 00:00:00+00:00,0,3,2,33,0,28,0 days 00:00:00,0 days 00:09:05,0 days 00:01:00,0 days 13:55:10,0 days 00:00:00,0 days 13:45:05
24,1995-01-01 00:00:00+00:00,0,0,1,69,0,68,0 days 00:00:00,0 days 00:00:00,0 days 00:00:40,14 days 12:57:02.500000,0 days 00:00:00,14 days 12:56:22.500000
25,1995-02-01 00:00:00+00:00,0,1,0,55,0,54,0 days 00:00:00,0 days 00:02:00,0 days 00:00:00,0 days 15:08:40,0 days 00:00:00,0 days 15:06:40
26,1995-03-01 00:00:00+00:00,0,1,2,86,0,83,0 days 00:00:00,0 days 00:45:00,0 days 00:11:00,13 days 07:24:15,0 days 00:00:00,13 days 06:28:15
27,1995-04-01 00:00:00+00:00,0,0,1,63,0,62,0 days 00:00:00,0 days 00:00:00,0 days 00:01:30,1 days 07:48:12,0 days 00:00:00,1 days 07:46:42
28,1995-05-01 00:00:00+00:00,0,2,0,73,0,71,0 days 00:00:00,0 days 00:00:05,0 days 00:00:00,0 days 16:40:49,0 days 00:00:00,0 days 16:40:44
29,1995-06-01 00:00:00+00:00,1,4,3,135,0,127,0 days 00:05:00,0 days 00:06:23.300000,0 days 00:15:02,11 days 20:08:15.300000,0 days 00:00:00,11 days 19:41:50
30,1995-07-01 00:00:00+00:00,1,5,0,112,0,106,0 days 00:00:02,0 days 00:14:05,0 days 00:00:00,1 days 11:22:17,0 days 00:00:00,1 days 11:08:10
31,1995-08-01 00:00:00+00:00,0,5,5,145,0,135,0 days 00:00:00,0 days 03:13:15,0 days 00:40:18,1 days 10:16:19,0 days 00:00:00,1 days 06:22:46
32,1995-09-01 00:00:00+00:00,1,4,1,92,0,86,0 days 00:01:00,0 days 00:38:00,0 days 00:06:00,1 days 08:40:00.500000,0 days 00:00:00,1 days 07:55:00.500000
33,1995-10-01 00:00:00+00:00,2,1,3,83,0,77,0 days 00:10:00,0 days 00:05:00,0 days 00:05:45,0 days 12:42:17,0 days 00:00:00,0 days 12:21:32
34,1995-11-01 00:00:00+00:00,0,0,1,97,1,95,0 days 00:00:00,0 days 00:00:00,0 days 00:20:00,1 days 05:20:50,0 days 00:00:05,1 days 05:00:45
35,1995-12-01 00:00:00+00:00,0,2,0,45,0,43,0 days 00:00:00,0 days 00:15:30,0 days 00:00:00,0 days 16:18:56,0 days 00:00:00,0 days 16:03:26
