country,index,time,count,total_encounter_duration
AUS,0,1958-01-01 00:00:00+00:00,1,0 days 00:45:00
AUS,1,1959-01-01 00:00:00+00:00,0,0 days 00:00:00
AUS,2,1960-01-01 00:00:00+00:00,1,0 days 00:03:00
AUS,3,1961-01-01 00:00:00+00:00,0,0 days 00:00:00
AUS,4,1962-01-01 00:00:00+00:00,0,0 days 00:00:00
AUS,5,1963-01-01 00:00:00+00:00,1,0 days 00:00:01.500000
AUS,6,1964-01-01 00:00:00+00:00,0,0 days 00:00:00
AUS,7,1965-01-01 00:00:00+00:00,0,0 days 00:00:00
AUS,8,1966-01-01 00:00:00+00:00,0,0 days 00:00:00
AUS,9,1967-01-01 00:00:00+00:00,1,0 days 00:05:00
AUS,10,1968-01-01 00:00:00+00:00,1,0 days 00:05:00
AUS,11,1969-01-01 00:00:00+00:00,0,0 days 00:00:00
AUS,12,1970-01-01 00:00:00+00:00,0,0 days 00:00:00
AUS,13,1971-01-01 00:00:00+00:00,0,0 days 00:00:00
AUS,14,1972-01-01 00:00:00+00:00,3,0 days 00:20:10
AUS,15,1973-01-01 00:00:00+00:00,0,0 days 00:00:00
AUS,16,1974-01-01 00:00:00+00:00,2,0 days 01:01:30
AUS,17,1975-01-01 00:00:00+00:00,5,0 days 01:07:04
AUS,18,1976-01-01 00:00:00+00:00,3,0 days 00:05:03
AUS,19,1977-01-01 00:00:00+00:00,1,0 days 00:00:30
AUS,20,1978-01-01 00:00:00+00:00,2,0 days 00:02:45
AUS,21,1979-01-01 00:00:00+00:00,1,0 days 00:00:05
AUS,22,1980-01-01 00:00:00+00:00,2,0 days 00:20:00
AUS,23,1981-01-01 00:00:00+00:00,1,0 days 01:00:00
AUS,24,1982-01-01 00:00:00+00:00,2,0 days 00:05:10
AUS,25,1983-01-01 00:00:00+00:00,4,0 days 11:20:15
AUS,26,1984-01-01 00:00:00+00:00,2,0 days 00:30:00
AUS,27,1985-01-01 00:00:00+00:00,0,0 days 00:00:00
AUS,28,1986-01-01 00:00:00+00:00,3,0 days 00:02:24
AUS,29,1987-01-01 00:00:00+00:00,3,0 days 00:15:05
AUS,30,1988-01-01 00:00:00+00:00,4,0 days 00:33:00
AUS,31,1989-01-01 00:00:00+00:00,0,0 days 00:00:00
AUS,32,1990-01-01 00:00:00+00:00,4,0 days 00:38:00
AUS,33,1991-01-01 00:00:00+00:00,2,0 days 00:05:00
AUS,34,1992-01-01 00:00:00+00:00,5,0 days 00:31:59
AUS,35,1993-01-01 00:00:00+00:00,3,0 days 00:09:30
AUS,36,1994-01-01 00:00:00+00:00,2,0 days 00:17:00
AUS,37,1995-01-01 00:00:00+00:00,5,0 days 00:16:02
AUS,38,1996-01-01 00:00:00+00:00,11,0 days 05:54:15
AUS,39,1997-01-01 00:00:00+00:00,10,0 days 06:40:15.500000
AUS,40,1998-01-01 00:00:00+00:00,15,0 days 02:37:30
AUS,41,1999-01-01 00:00:00+00:00,24,0 days 06:02:52.050000
AUS,42,2000-01-01 00:00:00+00:00,28,0 days 06:08:40
AUS,43,2001-01-01 00:00:00+00:00,41,0 days 09:41:29
AUS,44,2002-01-01 00:00:00+00:00,52,0 days 05:21:25
AUS,45,2003-01-01 00:00:00+00:00,58,0 days 07:33:08.950000
AUS,46,2004-01-01 00:00:00+00:00,44,5 days 17:30:12
AUS,47,2005-01-01 00:00:00+00:00,55,0 days 13:52:00
AUS,48,2006-01-01 00:00:00+00:00,48,0 days 07:59:02
AUS,49,2007-01-01 00:00:00+00:00,29,0 days 05:09:40
AUS,50,2008-01-01 00:00:00+00:00,24,0 days 03:36:51
